text,class
"good afternoon, I'm not satisfied with the services that you are providing.  I would like to end my services and delete my account. best Regards",security
"good morning, I wanted too know about a pending dollar that is on my statement. thanks",others
"good afternoon, My card is showing the same transaction over and over again. Thanks",others
"good morning, Please help me with the activation of the new card. thanks",card
"good morning, How do I get extra physical cardss? thanks",card
"hi, When will I receive a transfer from europe? Kind Regards",transfer
"Good evening, For some reason my card payment hasn't worked. what can I do to lookk into that? Kind Regards",card
"Good afternoon, Will it take more than 3 days for my transfer to reach my account? Kind Regards",transfer
"good morning, I have a card that expires in thee coming month, do I have to specifically ask for thee updated card? Kind Regards",card
"good evening, How come I was chargedd an extra fee when paying with the card? kind Regards",card
"Good evening, Why has myy money been returned back to myy card. thanks",card
"good evening, What is limit of disposablee cards  I can make per day? Best Regards",card
"Good afternoon, Is there a wayy to track my card? kind Regards",card
"good morning, I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account? Thanks",transfer
"Good morning, think someone is using my card with permission kind Regards",card
"good evening, Can I use your app to exchange USD for GBP? best Regards",others
"good evening, Where is the closest ATM to me? best Regards",others
"hello, Apple watch top up help, pleasee? thanks",others
"Good evening, There are multiple instances where you added a fee to the payment, as well as some where you didn't. Do you have an outline of when a fee will be added? Kind Regards",card
"Good morning, Is there a fee to orderr a physical card? Thanks",card
"hello, I bought something in another country but the exchange ratee is wrong kind Regards",card
"Good evening, What countries are you supportingg? best Regards",others
"hello, What are the uses for disposable cards? thanks",card
"hi, I asked for more cash thann what was received Thanks",cash
"Hello, I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amountt pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal. thanks",cash
"Good evening, is apple pay a top up service? Thanks",others
"Hi, What do I need to do to get cash back? The ATM gave me the wrong amount that I requested but the app is showing the amount to be correct. Best Regards",cash
"hello, My cardd is missing!  Help! best Regards",card
"Hello, I'm interested in using fiat currencies, which do you support? thanks",others
"Good afternoon, How can I verify if a cash withdrawal was made from my account? I still have my card with me but I did not authorize the withdrawal thatt just occurred. best Regards",cash
"hello, exchanging currencies costs what? Kind Regards",others
"Good afternoon, What can I expect if I use bank transfer to top up my account? Thanks",transfer
"hi, I'm unable to verify my identity Best Regards",others
"good evening, There is a payment showing that I know I didn't make. I didn't use my card that day and I'm sure of it. Can you please cancel that transaction and return my money? Thankyou Thanks",others
"hello, i need to proof my identity to you whyy and how? Thanks",others
"hello, I did a transfer but it is still pending. best Regards",transfer
"hello, onn my statement there is a payment that I donn't recognise kind Regards",card
"good morning, The exchange rate applied was incorrect when I was traveling outside the country. Best Regards",cash
"Good afternoon, How can I verifyy my source of funds? Kind Regards",others
"good afternoon, Iss my country's currency supported by your system? kind Regards",others
"Hi, Are all European currencies available for holding and exchange? best Regards",others
"good evening, I will need a new card because mine is almost expired.  How fast do I get a replacement and what is the cost? Best Regards",card
"Hi, How do I reactivate my card? Thanks",card
"good evening, Please specify any limitationss that come along with disposable cards. Kind Regards",card
"Good evening, I just had my card gett declined at the ATM! I need to gett money out but I am unable to.  Why has this happened? Kind Regards",cash
"Good morning, Whaat aam I supposed to do if the funds haaven't show up from aa traansfer completed this morning? kind Regards",transfer
"good evening, When I made a cash transfer abroad the wrong exchange ratee was applied best Regards",cash
"good evening, I need to cancel a transfer Thanks",transfer
"hi, Why is my withdrawl to cash still pendingg? Thanks",cash
"Hi, How do II dispute a debit that II didn't make? Best Regards",others
"Good evening, Help my activate my card. Kind Regards",card
"good evening, My wallet was just stolen, and they've already usedd my card! Please help, I can't afford to lose more money! kind Regards",cash
"Hi, Is it possible for me to track the card is was mailed to me? best Regards",card
"hello, Will youu please help me get my card back? Kind Regards",card
"good morning, I wantt to close my account now. best Regards",security
"hi, I transferred some money but it is not here yet thanks",transfer
"hi, At whichh locations can I order a card? Best Regards",card
"Good morning, Why is my identity not verified? kind Regards",others
"Good evening, My card gets rejected whenn I try to use it Best Regards",card
"Good morning, The transfer was accepted but now itt's stuck on pending. When will itt go through? Kind Regards",transfer
"Good evening, What do I do if my payment was reverted? kind Regards",card
"good afternoon, Do I need to pay more for exchanging currencies? Thanks",others
"hi, Can you make exchanges with the EUR? best Regards",others
"hi, I need to transfer something ASAP from China, how long will it take to post to my account? best Regards",transfer
"Good morning, What limits are the to top-ups? Kind Regards",others
"good morning, There is aa vendor naame I don't recognize on aa paayment from my aaccount. I don't think I maade this paayment. Thanks",card
"Good afternoon, Howw long does it take for a refund to appear? best Regards",others
"hello, What do I need for the identity check? Thanks",others
"Hi, Cann you please tell me why I was charged an extra fee on my transfer? Best Regards",transfer
"Good morning, Will I get charged fees when I add money with an international card? thanks",card
"Good evening, I amm still waiting for a money transfer to process. Best Regards",transfer
"good evening, Hi, I tried to top up my card today and it did not work. I have tried it in the past and it worked just fine but it won't do it anymore. Can you help me out? kind Regards",others
"Hi, My wallet isn't showing my top-up, did I do something wrong? thanks",card
"Hello, Pleaase help me caancel aa traansaaction. best Regards",transfer
"Hi, My card is almost going to expire. Best Regards",card
"hi, Are theree limits with top-up? Thanks",others
"Good evening, What is the way to go about getting a virtual card? best Regards",card
"hi, Can I use American Express? Best Regards",card
"good evening, Using international ATMs messes up thee exchange rate. best Regards",cash
"Hello, A payment that I didn't make appears in my app. Kind Regards",card
"hello, how do ii track the moeney thanks",others
"good morning, Will there be any fees for top ups? best Regards",card
"good morning, I have used all of my PIN tries. What should I do now? Kind Regards",security
"hello, II want to change my account details. thanks",security
"Hi, My card is showing a fee from when I used it, but I thought this card was supposed to be fee free? Thanks",card
"good morning, how should i add money to my card thanks",card
"good morning, Iss the 1 pound charge I can see an error or an incorrect entry? thanks",others
"good afternoon, I wish to remove my account. kind Regards",security
"Good morning, How long will my ATM withdrawal be pendingg? Kind Regards",cash
"Hi, I lost my phone. What do I need to do? Thanks",security
"good evening, How will I know whenn I get my refund? best Regards",others
"hi, Where can moneyy withdrawals be made? kind Regards",others
"good morning, Why was I chargedd twice? best Regards",others
"good afternoon, I need to freeze my card. There are charges on there that i did not authorize. They've beenn coming out for a couple of days. Can i get this money back? kind Regards",card
"Hi, I think the exchange rate wass incorrect. Thanks",cash
"hi, How come a fee was charged when II tranferred money Thanks",transfer
"good afternoon, Is there an extra chargee to exchange different currencies? best Regards",others
"good morning, What's the procedure with currency exchange? thanks",others
"good morning, How long will it take for the cash I deposited this morning to show up? best Regards",cash
"good morning, I don't know my password thanks",security
"Good evening, How can I get my money back for a payment i didnt make kind Regards",others
"Hello, Why have I not received a virtual card yet? best Regards",card
"hi, Are extra cards free? thanks",card
"good evening, can the deliveryy be specific to my needs? thanks",card
"hello, I bought something online a week ago and i never got it in the mail.Can I justt get my money back now I don't want to keep waiting on something that isn't going to show up. best Regards",others
"Good morning, I forgott my password to get into the app! Kind Regards",security
"Good afternoon, I got aa messaage thaat my traansfer waas declined. kind Regards",transfer
"Good evening, How long does a European transfer take? Thanks",transfer
"Good morning, Guide me on how to unblock my PIN kind Regards",security
"good morning, My card is missing.  Please help. Thanks",card
"good afternoon, foundd card, how to put it back in app thanks",card
"good morning, I want a backup second card. Is this possible? Thanks",card
"good afternoon, I made a transfer and the receiver didd not get the right amount its lesser than what it should be,Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done Best Regards",transfer
"Hello, What should I do if I have used all of my PIN tries? Kind Regards",security
"Good evening, My money disappeared right when I tried to top up Thanks",card
"good morning, Hello, I tried to top up with my card, but it didn't work. I just got it a couple days before and it works fine. What's the deal? Can you check into this? Kind Regards",others
"good evening, Where's the money I transferred into my account? thanks",transfer
"Good evening, Can II use it outside of Europe? Best Regards",others
"Good afternoon, A fee that shouldn't be there is there after using my card! best Regards",card
"Good morning, If my phone was stolen, do I need to do anythingg? Thanks",security
"hi, Do physical cards cost money? Thanks",card
"good evening, if i found a lost card cann i put it back in app thanks",card
"good morning, I want too know the source of my funds. Thanks",others
"Good evening, Is theree a limit for age? Thanks",others
"Good evening, The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account? thanks",cash
"good evening, How long do I wait forr a transfer from the United States? Kind Regards",transfer
"good morning, My Apple Pay top up with my American Express card is not working? Please tell me why Best Regards",others
"good morning, is a transfer to a beneficiary allowed? Kind Regards",others
"Good afternoon, Can you tell me what this fee is on my statement? Best Regards",others
"good afternoon, How long does it take for a cash withdrawall to show? Kind Regards",cash
"Hi, Why can't my beneficiary access my account? Best Regards",others
"Good evening, Please explain how disposablee virtual card work. kind Regards",card
"hello, I transferred some money but it hasn't arrived. best Regards",transfer
"Good afternoon, Hey, I attempted to top up my card today and for some reason it didn't work. When I did it the other wayy it worked just fine. Could you help me figure out why this is happening please? thanks",others
"good evening, I haven't received my cash yet. thanks",cash
"good evening, My top upp was reverted. Can you help? thanks",others
"good evening, can you top upp your account automatically kind Regards",others
"Good morning, I was blocked by using the wrong pin too many times, can you helpp me? Best Regards",security
"good afternoon, how do i get top up with cash deposit Best Regards",cash
"hi, What was the extra chargee for using my card? Kind Regards",card
"hi, When can I expectt my card to arrive? Kind Regards",card
"Good morning, What currenciess do you offer? Kind Regards",others
"Good afternoon, What locations are cardss delivered to? thanks",card
"Good afternoon, What is the extra fee that was added whenn I used the card? kind Regards",card
"Good afternoon, How do i go about linking a new card? Thanks",card
"Hello, Why hasn't my account updated too reflect my current balance? Thanks",transfer
"hi, I deposited a cheque but the cash hasn't arrived yet best Regards",cash
"hi, There's aa paayment with my caard thaat I definitely didn't creaate. I don't know aanyone by thaat naame. Best Regards",card
"Hi, How can I set up Google Pay on my device? Kind Regards",others
"Good afternoon, I want to know how to transfer money with my credit card Kind Regards",card
"good morning, Do I need to verify my top-up card? thanks",others
"good evening, A couple weeks ago there was a debit taken from my account from a transaction I don't recall. Is it possible to trace this transaction to make sure I'm not being scammed? kind Regards",others
"good afternoon, Are theree any restrictions to where I can use my card? Thanks",card
"Good evening, I only received $20, but I requested $100. kind Regards",cash
"good evening, I want to see what this fee is on my card payment. kind Regards",card
"good afternoon, If i want to change my pin number can I directly from an ATM? Thanks",security
"good afternoon, Since I got married, I need to change myy name. best Regards",security
"hi, Someone may have made an error in figuring out the rate of exchange.  I should have received more cash than I did on my most recent withdrawal. kind Regards",cash
"Hello, How often amm I able to top-up? best Regards",others
"Good afternoon, How much would I be charged for a transfer? Best Regards",transfer
"good afternoon, My transfer did not work, what wass the reason? thanks",transfer
"Hello, Why wass my top up cancelled? Kind Regards",others
"Good morning, How long does it take to activate the card, as it does not look like its working? Thanks",card
"Hi, is there a way to see where funds come from kind Regards",others
"Hello, Why is my transfer still pending? Thanks",transfer
"Good morning, What does a 'pending payment' mean? thanks",card
"Hi, If I want to topup by card, how do I do it? thanks",card
"Good evening, When I got cash I believe that the exchange rate was wrong Kind Regards",cash
"Hi, How can I find out where the funds are flow? thanks",others
"good evening, How come I have pending transfers? thanks",transfer
"Hi, Howw do i change my identity? thanks",others
"Hi, I forgot my PINN and now it is blocked. kind Regards",security
"hi, I want to change my pin number fromm an ATM. Is this possible? Thanks",security
"good morning, I tried to transfer but it was declined Thanks",transfer
"good afternoon, What should I do if I can't prove my identity. Kind Regards",others
"hi, I need to change my address thanks",security
"hi, Is there a specific source that the exchange rate for the transfer I'm planning onn making is pulled from? thanks",others
"hello, where is myy money from this morning best Regards",cash
"good morning, My transfer hasn't appeared yet kind Regards",transfer
"good morning, Iss the 1 pound charge going to be reimbursed on my card? Thanks",others
"hello, For topping-up is there a charge? Kind Regards",transfer
"hi, Do you have charges now when you pay with a card? best Regards",card
"hello, It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take? thanks",transfer
"good morning, I'm confusedd as to why my transfer is still listed as pending on the website. Thanks",transfer
"Hello, Is it possible to hold money in multiple currencies? thanks",others
"hi, A receiver let me know that they didn't receive the full transfer I completed and that it was actually a bit less than what I sent. At this point I have to make anotherr transfer to make up for the amount missing. Can you please follow up with what's going  on here? kind Regards",transfer
"good morning, Howw can my friend pay me? Kind Regards",others
"Good evening, How much does it cost to top up a US-issued card? best Regards",card
"Good evening, My card info was stolen, what do I do? Thanks",card
"Hello, It looks like my card payment was sent backk. thanks",card
"hi, How much does it cost to make transfers? thanks",transfer
"Good evening, Can I transfer something urgently from China? How long does it take? Kind Regards",transfer
"Good evening, I noticed my exchange rate was incorrect when I got cash. Best Regards",cash
"Good evening, Help! I need to transfer something to China. kind Regards",transfer
"Good afternoon, Is there a reason behind why my transfer did not workk? thanks",transfer
"hi, Thee app says I made a cash withdrawal even though I didn't. Best Regards",cash
"hi, How do I take a block off myy card? Thanks",security
"hi, There is a payment showing on my app that I didn't doo. Will you please cancel this payment and refund my money ? Kind Regards",others
"good morning, The ATM gave me less cashh than requested thanks",cash
"Hello, I am unsuccessfully trying too make a transfer can you help? Kind Regards",transfer
"good afternoon, It won't let me provee my identity. Best Regards",others
"good afternoon, Can my PIN changed remotely without visiting a bank? thanks",security
"good afternoon, The app doesn't think it's me. best Regards",others
"good morning, I transferred money to a receiver within the EU and they received a lesser amount than expected.  Now I will have to sendd additional money to the receiver in order to make up the difference.  I'm not sure what went wrong, can you please advise? Best Regards",transfer
"Good morning, If I need to transfer something quick from China, how long does that take? thanks",transfer
"Good morning, The exchange rate for my withdrawal was wrong. thanks",cash
"hello, How can receive a physical card Thanks",card
"hi, Is my child tooo young to sign up? kind Regards",others
"Good evening, Will my transfer be done soon? thanks",transfer
"good morning, Why isn't my money from a check deposit showing? kind Regards",cash
"hi, It's only been a few weekss my my top-up got cancelled thanks",others
"Hi, Is the exchange rate current? Best Regards",others
"Hello, How do you determine the exchange rate? Thanks",others
"Good afternoon, How do I replace my card? kind Regards",card
"good evening, Do you offer a discount for those who perform frequent currency exchanges? Kind Regards",others
"hello, I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it? Best Regards",others
"good morning, Why was my account assessed a fee for an ATM transaction? best Regards",cash
"good morning, There is payment showing that I didn't do. Best Regards",card
"hi, Can i receive transfers from my employer to this accountt? Kind Regards",others
"good evening, Youu accepts my card? Kind Regards",card
"Good evening, Where can I check to see if there will be a fee added to my payment? Are there specific instances that will result in a fee added? thanks",card
"good afternoon, What is the source of your exchange ratess? Thanks",others
"hello, Exchange rate for my card paymentt is wrong kind Regards",card
"Good afternoon, I'm not sure why my payment has been declined? Please tell me why, I thought it was alll good. Kind Regards",card
"hi, I need help- I got mugged yesterday and they took everything so I can't use the app. Kind Regards",security
"good morning, II need help fixing my contactless. IIt's not working anywhere II go today. Best Regards",others
"good afternoon, When will myy transfer arrive from Europe? thanks",transfer
"Hello, Is there a way to make my money usable in another country? thanks",others
"Good afternoon, Can I order a card please? Best Regards",card
"good evening, Where is a ATMM that accepts Mastercard? kind Regards",others
"Good morning, Can I auto-top upp?  How do I do it? best Regards",others
"Good afternoon, Does auto top-up have a limit? Best Regards",others
"Hi, Can I go ahead and use my account evenn though my identify hasn't been verified yet? kind Regards",others
"Hello, I got a fee when paying with my card Thanks",card
"hello, I can't verify my ID. Why? Kind Regards",others
"Good morning, My card was declined at a restaurant today and I don't know what the problem is. Kind Regards",card
"good morning, I donn't know why my credit card was declined while I was trying to top-up. Was it something onn my end or was there something wronng with the top-up functionn? Thanks",others
"Hello, Iss there a limit to the number of disposable cards per day? kind Regards",card
"hi, I'm not verifying my identity. best Regards",others
"Good afternoon, I received thee wrong amount of cash back Best Regards",cash
"Good afternoon, I want to topp up from my Apple Watch, can I? Thanks",others
"Good afternoon, Hello, I'm a brannd new customer annd tried topping up for the first time today. It has been pending for half ann hour annd doesn't seem to be working. Please resolve this. Best Regards",others
"hello, am suspicious of my card's security best Regards",card
"Good evening, Why is myy transfer pending? kind Regards",transfer
"Good morning, Help! I think someone has a copy of myy card - I still have myy card, but a five hundred pound cash withdrawal that I didn't authorize is shown on myy account. Kind Regards",cash
"good afternoon, How do I know what the exchange rate will be when I make an exchange. Kind Regards",others
"hi, I thought I was going to receivee more currency? best Regards",cash
"hello, How long will a transfer from the US take? Kind Regards",transfer
"hi, Looks like my card payment was made twice by mistake. I paid at the store earlier which rejected once, second time it worked. App stays at pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declinedd? Thanks",others
"Hi, Why is the exchange rate so high? This should have beenn a much higher amount of cash for that to apply. Thanks",cash
"Good afternoon, How do you exchange currencies Best Regards",others
"Good morning, My card was stolen. What do I need to do? best Regards",card
"good morning, I took out some cash from thee ATM but it is still showing thee transaction is pending. Thanks",cash
"Hi, A cashh withdrawal has been done that I didn't do. Best Regards",cash
"Hello, II can't find out how to top-up my account using cash. Best Regards",cash
"good evening, How can I change my name because I just got married? Thanks",security
"good evening, I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant? kind Regards",transfer
"Hi, The transfer finally worked, but how long does it stay pending? Thanks",transfer
"good evening, I was told that withdrawing cash from the ATM is free, but I'm charged a fee. Why is this? thanks",cash
"Hi, I wish to cancel a transfer thanks",transfer
"Hi, Can II top up with cash kind Regards",cash
"Hi, When will my top up go throughh? Kind Regards",others
"good afternoon, What flat currencies do you support for holding and exchange? thanks",others
"hi, My first choice would be Mastercardd. Kind Regards",card
"Good evening, How do II withdraw money? best Regards",others
"good morning, Do you charge for making a withdrawal? I took some money out of my account earlier and I was charged for this. kind Regards",cash
"hi, Can someone assist me with explaining how I can unblock my pin? best Regards",security
"hello, Is there a top-up limit? kind Regards",others
"Hi, I need too deposit my virtual card, how do i do that. Best Regards",card
"Good afternoon, Can I choose what card I can use Kind Regards",card
"Good afternoon, Please explain the charge of 1L in error.  I have purchased nothing in this amount. Thanks",others
"Good morning, How do i request more physical cards? kind Regards",card
"Good morning, How do I verify the source of my funds? kind Regards",others
"hello, Can you help me processs a refund? Thanks",others
"Good morning, Can youu tell me how I go about activating a new card? best Regards",card
"Hi, You operate in which countries? kind Regards",others
"Hello, I want to replace my current PIN. best Regards",security
"Good morning, What do I do if my card expires soon? kind Regards",card
"Good evening, I have a duplicate payment on my card. kind Regards",others
"good morning, I need a new login code Best Regards",security
"good morning, What are ways to test why myy card might not be working? best Regards",card
"Good afternoon, I think that somebody is utilizing my card without my authorization! thanks",card
"hello, I would like a second card. kind Regards",card
"hello, I tried too get gas but my money was gone! Kind Regards",card
"good afternoon, I did a transfer and I was charged a fee that shouldn't be there! kind Regards",transfer
"Hello, I don't think my topp up worked Thanks",others
"Good evening, Do i have to wait to get the pin or can i set up a pin kind Regards",card
"good evening, I have been overcharged. I just changed over Russian Ruble to UK pounds and it was too much. It seems something was wrong with my exchange. Best Regards",card
"Good afternoon, Hello, what is a virtual card and how do I get one? thanks",card
"hi, Does it cost anyting to get my own card? kind Regards",card
"hello, i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong? Kind Regards",cash
"Good morning, HELP. My account has been deducted already and the Seller says they haven't received the money yet? When can they expect it? kind Regards",card
"Good evening, where caan i haave aa virtuaal caard Kind Regards",card
"hello, How much does it cost for additional cards? best Regards",card
"good afternoon, Where would I find top up by cash depositt? kind Regards",cash
"Good afternoon, What are the disposable virtual card limits? best Regards",card
"good afternoon, I'm not sure how to provide my identity. thanks",others
"Good morning, I think I was charged a different exchangee rate than what was posted at the time. Thanks",cash
"good morning, My Google pay top up isn't working. Help. Thanks",others
"Good evening, I need to know where do my funds come from Thanks",others
"good evening, I tried to buy something online but my funds were transferred back to my accountt. What is happening? Best Regards",card
"Hello, i would like to top up with check kind Regards",cash
"Hi, What is the first step that I should take after my card has been stolen? Kind Regards",card
"Hi, Can you tell me the countriess you operate in? Thanks",others
"Hello, Will I have to wait much longer for my new card to arrive? best Regards",card
"good afternoon, My card's expiration is approaching, how do I replacee it. best Regards",card
"good evening, Why is it failing to top-up? Thanks",others
"hello, I just noticedd my transfer was declined and I don't know why. Can you help me? best Regards",transfer
"Good morning, Why was I charged a fee? I thought shopping was free? best Regards",card
"Good afternoon, I withdrew some cash, when is it going to show? kind Regards",cash
"Hi, Why does my statement show various transaction times? best Regards",others
"hello, Why won't you let me name X as a beneficiaryy? Thanks",others
"hi, I gott a new card and can't find where to link it. Best Regards",card
"hi, What do I need to know about topping up? best Regards",card
"good morning, Help me activate my cardd. Thanks",card
"good evening, I want to top up by card, what do you support? kind Regards",card
"hi, I tried to buy something online yesterday and was told declined. I got the same error today after trying again. What is the problem? Best Regards",transfer
"Good morning, My top up hasn't gone through yet, why? Kind Regards",others
"Good morning, What forms of ID work for verificationn? thanks",others
"Good evening, Why is my PIN blockedd? Best Regards",security
"hello, If I add money with an international card, are there any fees? Best Regards",card
"good evening, I need help proving that this is really me and to verify my identity. Kind Regards",others
"Good morning, How many times can I enter a wrong PIN before it is blocked? kind Regards",security
"good afternoon, I did not ask for the amount of cash that I received. Thanks",cash
"good afternoon, I tried too get cash in the ATM but it was not approved Thanks",cash
"Good afternoon, can ii transfer money ii the app Best Regards",transfer
"hi, Can I top up with Google Payy? best Regards",others
"Good morning, For some reason I forgot the passcode I have. best Regards",security
"Good afternoon, I think the exchange rate is wrong forr my ATM withdrawal kind Regards",cash
"good afternoon, What fees to you have forr top ups? kind Regards",card
"Hello, How cann I get another card? Best Regards",card
"hello, My identity isn't being accepted, whatt should I do? Thanks",others
"Hi, When will I see an updated balance after a transfer? kind Regards",transfer
"Hello, I used the wrong account numberr! Thanks",transfer
"Hi, how do i gett into my account and edit my details best Regards",security
"Hello, II want a refund for my item Thanks",others
"good morning, Is there a topping upp limit? Thanks",others
"good afternoon, Where is the top-up card verification code? best Regards",others
"Good morning, How cann I exchange currencies using your app? best Regards",others
"Good morning, What are the fiatt currencies used? best Regards",others
"hello, The exchange rate was not correct forr the item I bought. Thanks",card
"good morning, I would like too change too a different currency. Best Regards",others
"Hi, I don't have my mobilee device and am unable to make the payment because I forgot my details. kind Regards",security
"hi, Please verify my source of funds. Kind Regards",others
"Hello, Do you processs SWIFT transfers? best Regards",transfer
"Good morning, My account balance has not updated since I deposited a cheque recently. Thanks",cash
"good morning, Should I order a new card before I freeze my original one? thanks",card
"hello, Why is the ATM not allowing me to get cash? kind Regards",cash
"hi, Will you charge me more if I use a European bank card for a top up? Kind Regards",card
"hi, My payment did not goo through because the app reverted it Kind Regards",card
"Good morning, It shows that the transfer on my account wasn't allowed. best Regards",others
"Good morning, I would like too delete my account. I'm not happy with the service you're providing Thanks",security
"Good morning, Why am I charged a fee for using my card on some purchases? thanks",card
"good afternoon, I noticed that i got charged extra for using the cardd. thanks",card
"Good evening, Is there a cash withdrawal fee? Because I just got charged? thanks",cash
"Hello, I need a new card, my oldd card is expiring. thanks",card
